Domain, Image, Entropy
1, 513, 3.4916532039642334
1, 514, 3.039766311645508
1, 515, 3.0447635650634766
1, 516, 2.6291255950927734
1, 517, 2.947655200958252
1, 518, 2.4961209297180176
1, 519, 0.562842845916748
1, 520, 1.3617388010025024
1, 521, 2.193606376647949
1, 522, 3.3093416690826416
1, 523, 2.1396164894104004
1, 524, 2.3192899227142334
1, 525, 2.9953432083129883
1, 526, 2.966874361038208
1, 527, 3.229473352432251
1, 528, 0.9601441025733948
1, 529, 3.1548914909362793
1, 530, 3.3999500274658203
1, 531, 2.450634241104126
1, 532, 2.647653818130493
1, 533, 1.7910927534103394
1, 534, 1.3982007503509521
1, 535, 3.292985439300537
1, 536, 3.3749706745147705
1, 537, 3.491312026977539
1, 538, 2.2257421016693115
1, 539, 2.603663444519043
1, 540, 3.1308231353759766
1, 541, 3.3549962043762207
1, 542, 2.474353313446045
1, 543, 3.5592637062072754
1, 544, 2.960404872894287
1, 545, 2.4913930892944336
1, 546, 2.880319118499756
1, 547, 2.2510321140289307
1, 548, 3.518324136734009
1, 549, 2.6121654510498047
1, 550, 3.3595468997955322
1, 551, 1.5517163276672363
1, 552, 0.4891801178455353
1, 553, 2.298773765563965
1, 554, 1.018099308013916
1, 555, 2.6912753582000732
1, 556, 1.018099308013916
1, 557, 2.3192899227142334
1, 558, 2.954193115234375
1, 559, 3.5146632194519043
1, 560, 2.118412733078003
1, 561, 2.6263933181762695
1, 562, 0.968500554561615
1, 563, 0.8693175911903381
1, 564, 0.8457918167114258
1, 565, 0.8591529130935669
1, 566, 0.6288373470306396
1, 567, 0.3824540376663208
1, 568, 0.578951358795166
1, 569, 0.8717408180236816
1, 570, 2.185393810272217
1, 571, 1.0017516613006592
1, 572, 0.7724766731262207
1, 573, 1.4956459999084473
1, 574, 1.6300950050354004
1, 575, 1.3730952739715576
1, 576, 0.49458616971969604
1, 577, 1.340346097946167
1, 578, 1.0162711143493652
1, 579, 0.9545196294784546
1, 580, 0.6925572752952576
1, 581, 2.416563034057617
1, 582, 0.5460020899772644
1, 583, 1.6138229370117188
1, 584, 0.4154714345932007
1, 585, 2.069579839706421
1, 586, 0.4264577031135559
1, 587, 0.4243452548980713
1, 588, 0.9093802571296692
1, 589, 0.5431274771690369
1, 590, 1.8322288990020752
1, 591, 0.5317269563674927
1, 592, 2.1441831588745117
1, 593, 0.7154297828674316
1, 594, 0.6622331738471985
1, 595, 0.9250746369361877
1, 596, 0.5201285481452942
1, 597, 0.37366482615470886
1, 598, 1.0906071662902832
1, 599, 0.7405874729156494
1, 600, 0.5994635820388794
1, 601, 0.5445520281791687
1, 602, 0.825555145740509
1, 603, 0.337946355342865
1, 604, 0.44420838356018066
1, 605, 0.9840406775474548
1, 606, 0.4405784010887146
1, 607, 0.8638488054275513
1, 608, 0.5040993690490723
1, 609, 0.9232114553451538
1, 610, 0.6314719319343567
1, 611, 0.32071658968925476
1, 612, 0.7973843812942505
1, 613, 0.6125311851501465
1, 614, 1.7413866519927979
1, 615, 0.40878185629844666
1, 616, 0.5043996572494507
1, 617, 0.5945706367492676
1, 618, 0.5548878312110901
1, 619, 1.9829936027526855
1, 620, 0.38176149129867554
1, 621, 0.775310218334198
1, 622, 1.5928997993469238
1, 623, 1.3318922519683838
1, 624, 0.476035475730896
1, 625, 1.098569393157959
1, 626, 0.46519142389297485
1, 627, 0.8638488054275513
1, 628, 0.7277584075927734
1, 629, 0.9637598991394043
1, 630, 0.5049102902412415
1, 631, 0.5800229907035828
1, 632, 1.2667499780654907
1, 633, 0.587395429611206
1, 634, 0.6739709973335266
1, 635, 1.0927577018737793
1, 636, 0.6764475703239441
1, 637, 1.898782730102539
1, 638, 0.7966063022613525
1, 639, 1.6742063760757446
1, 640, 0.652690589427948
1, 641, 0.47084805369377136
1, 642, 2.527895450592041
1, 643, 1.1563589572906494
1, 644, 0.8215181827545166
1, 645, 0.35719266533851624
1, 646, 0.6309739351272583
1, 647, 0.545224130153656
1, 648, 1.5703837871551514
1, 649, 0.7001477479934692
1, 650, 0.5498850345611572
1, 651, 1.0295958518981934
1, 652, 0.7619696855545044
1, 653, 0.44167983531951904
1, 654, 0.5074660778045654
1, 655, 0.45698219537734985
1, 656, 0.5190165042877197
1, 657, 0.5373563766479492
1, 658, 3.1138508319854736
1, 659, 0.3485504388809204
1, 660, 1.6775295734405518
1, 661, 0.8246560096740723
1, 662, 0.2922065854072571
